danceability,mode,valence,tempo,acousticness,loudness,energy,type,speechiness,id,duration_ms,liveness,key,instrumentalness,time_signature
0.77,0,0.798,108.004,0.0954,-3.75,0.766,audio_features,0.0315,3lTh8miNqNpJdEQl8WbnLE,290000,0.0618,0,3.78e-05,4
0.859,1,0.798,115.006,0.0493,-8.453,0.747,audio_features,0.0779,5n1FBtJgcDePfo8q6hBQPu,290862,0.0672,7,0.00119,4
0.797,1,0.864,124.007,0.041,-4.352,0.864,audio_features,0.0485,2w1oHTZhpKoxzHpkuzptdG,303020,0.616,0,0.00204,4
0.64,0,0.409,84.975,0.548,-8.195,0.501,audio_features,0.0364,540QlWSvpDzDOc0EMzUokz,362000,0.135,3,0,4
0.856,1,0.708,100.996,0.0488,-1.732,0.974,audio_features,0.14,2YZZFwARteC3gM1aEgHHMr,291459,0.223,5,0.000409,4
0.54,1,0.81,93.0,0.293,-3.241,0.955,audio_features,0.219,3oLSlzMt3SD5PYSMf1Aqo0,259330,0.127,1,0.0107,4
0.737,0,0.685,92.001,0.0801,-9.386,0.616,audio_features,0.0501,3CDyEoBgQHC1hJATGfjwHn,244286,0.187,10,1.45e-06,4
0.804,0,0.711,97.963,0.022,-9.891,0.623,audio_features,0.0914,7A3HdpivKNGgTW2Bo3udV8,311960,0.0759,5,0,4
0.741,1,0.343,126.017,0.000805,-7.236,0.756,audio_features,0.0377,7b0NyLnGcING5yrdArnMqy,302366,0.288,2,0.000132,4
0.607,1,0.393,87.876,0.54,-6.438,0.847,audio_features,0.208,0V6XoG8tWC7xhUNwYLOGYL,251333,0.198,1,7.28e-05,4
0.827,1,0.911,120.022,0.0753,-6.642,0.829,audio_features,0.0469,55jpRZIwLUzV9Pd8v0cTP3,257913,0.0479,0,2.75e-06,4
0.838,1,0.69,119.974,0.0579,-4.464,0.917,audio_features,0.0494,63cdUH7934Y3Glreb3uSzE,305466,0.0459,2,0.0306,4
0.87,0,0.904,125.036,0.734,-7.62,0.858,audio_features,0.16,5mLsYR2tUGr6M5YYycSnVH,293484,0.0936,10,0.000185,4
0.711,1,0.358,74.976,0.305,-5.224,0.799,audio_features,0.323,4hPdBivyqPoLQoHZss0FGe,320004,0.246,8,1.24e-06,4
0.715,0,0.928,180.005,0.554,-6.931,0.67,audio_features,0.211,1EO0MXBlrmZzqSZeAVKOtR,177835,0.0433,5,2.49e-06,4
0.783,0,0.712,98.99,0.126,-7.669,0.741,audio_features,0.0358,51yVvSxEMSOdyUgPaMAlpn,380318,0.107,4,5.01e-06,4
0.69,1,0.473,102.007,0.2,-6.217,0.802,audio_features,0.0404,413oJ4fRleVTs960hi5Iay,344059,0.357,2,0,4
0.783,1,0.455,97.012,0.191,-9.32,0.554,audio_features,0.0426,54ItzDjLbrVAMQb0P52auE,317853,0.0922,7,0,4
0.752,1,0.926,133.003,0.163,-3.589,0.909,audio_features,0.0322,3UdPONxtYlzAFbrS1x088A,251520,0.0521,8,0.000393,4
0.642,0,0.444,111.004,0.837,-7.098,0.549,audio_features,0.0285,7BvUOljRQxfVzVJQsUvwEZ,206053,0.0729,4,0.00012,3
0.74,0,0.774,126.024,0.222,-3.918,0.908,audio_features,0.112,6g0dzhm3CXxbvtXT8UubV6,239334,0.159,10,0.000181,4
0.899,0,0.96,114.97,0.448,-6.714,0.838,audio_features,0.184,1yIYqiOtNaBIXSzLxrd2RL,269587,0.0741,5,0.0517,4
0.714,1,0.511,129.935,0.845,-11.545,0.464,audio_features,0.0483,5haAVKCKAfb7IYLplcao0h,319164,0.0833,7,0.00428,4
0.715,0,0.288,134.95,0.112,-8.143,0.85,audio_features,0.0321,7xOwYCbPiEarp0NeqNdayL,250458,0.163,7,0.0001,4
0.72,0,0.521,128.116,0.225,-8.947,0.627,audio_features,0.0347,5QGQHsWLpTwahpSpI7rmkk,218612,0.0864,7,0,1
0.724,1,0.57,161.974,0.149,-4.721,0.9,audio_features,0.125,1tZrspn1lncPkr3nkoKbVk,263360,0.113,0,1.71e-06,4
0.638,0,0.59,137.966,0.463,-6.5,0.691,audio_features,0.0417,2FT2ocLRif4dYUyCOaTu5H,295992,0.344,4,0,4
0.596,0,0.699,203.955,0.523,-5.318,0.575,audio_features,0.0354,5QDQgvghbSGUqflQjJTdYK,217347,0.118,7,0,4
0.898,0,0.943,129.997,0.0474,-8.166,0.567,audio_features,0.0362,7949B8ff44n3Y4rSGCWcqz,370730,0.0711,0,3.87e-06,4
0.793,1,0.54,105.001,0.0688,-6.676,0.791,audio_features,0.0402,4znZUt5bYLNVqISxUSkgt4,248254,0.289,2,5.31e-06,4
0.718,0,0.663,129.918,0.016,-5.076,0.941,audio_features,0.116,3x8guKVAWKlFIpFkgRNTZh,268921,0.467,11,5.13e-06,4
0.636,0,0.649,106.459,0.0504,-4.791,0.903,audio_features,0.233,7y8F8jWMytNa55pFUBJKA0,245070,0.831,10,1.59e-05,3
0.799,0,0.775,77.015,0.064,-3.877,0.985,audio_features,0.218,3EPBTwxZ6hmSYluYbwABEZ,204147,0.0515,11,0.00516,4
0.896,0,0.947,110.032,0.169,-8.517,0.586,audio_features,0.0721,2B4aHNymPu3qYSjFnoxZGH,299049,0.0316,0,1.73e-05,4
0.652,1,0.747,125.916,0.525,-7.933,0.711,audio_features,0.215,3lzbXa0Nfkqvjx75qLqopj,239000,0.14,7,1.08e-05,4
0.79,0,0.83,121.965,0.161,-6.456,0.722,audio_features,0.0489,75bImynhcDv1DlYUOfzeFD,272406,0.127,5,0.0197,4
0.737,0,0.604,90.097,0.149,-6.53,0.702,audio_features,0.178,6sThzgGBYe4GtkX83xfa8Y,342280,0.0855,4,0,4
0.753,0,0.829,135.02,0.501,-6.422,0.775,audio_features,0.0521,3pQFOXZSkakIYkcVFQlK7J,244187,0.0824,9,2.17e-05,4
0.812,1,0.908,91.928,0.195,-7.857,0.709,audio_features,0.0677,1tpSHNJZjyudKu3kK4wNJo,234693,0.0993,5,0,4
0.756,0,0.858,107.022,0.201,-5.669,0.935,audio_features,0.104,2rBei9G3ESoCEuo4f460Zp,265164,0.757,5,0.00127,4
0.567,0,0.481,101.005,0.345,-7.5,0.603,audio_features,0.0402,1mOCb1w5n62jLGHJqpGL2W,340907,0.252,7,0,4
0.862,1,0.905,138.075,0.215,-4.683,0.731,audio_features,0.0951,5H1fqGHrjR78hQKw3iPjp2,203349,0.0919,7,0.000672,4
0.777,1,0.91,81.982,0.317,-6.026,0.755,audio_features,0.0858,35ohoNz5nuFbyNDuArJb9V,264069,0.261,1,0.000516,4
0.842,0,0.77,130.0,0.209,-8.328,0.93,audio_features,0.0949,3ppaMjhBDxRi2kTpawOSJn,298393,0.104,9,1.42e-05,4
0.928,1,0.444,112.962,0.251,-10.169,0.311,audio_features,0.0893,7xRb2y0Kh4HVztdxDn3qJ0,284108,0.0917,4,0.00128,4
0.768,0,0.951,152.025,0.315,-4.805,0.982,audio_features,0.0701,05KlOU6SRDD1iYlJaDi8yl,176485,0.0439,6,0.000939,4
0.867,0,0.649,100.008,0.453,-8.334,0.662,audio_features,0.179,4GsRour6Kmw3bHwezz6AVZ,365280,0.0755,2,2.53e-05,4
0.657,0,0.865,105.759,0.107,-6.659,0.636,audio_features,0.111,0A1FTU98RIFEmRyvNrFNFt,299400,0.038,9,1.69e-06,4
0.791,1,0.846,92.019,0.0998,-5.935,0.728,audio_features,0.0518,7hNgK7f6Xbckzg7whl5vib,307200,0.073,8,0.0267,4
0.857,0,0.839,103.992,0.443,-8.625,0.64,audio_features,0.0535,2yalg847ei6wfk3foP6JG8,231906,0.347,5,0.000809,4
0.745,0,0.898,80.885,0.11,-5.473,0.833,audio_features,0.0977,38TBjs9wPncbNhWw0QIzlW,189089,0.242,0,9.52e-05,4
0.866,0,0.906,136.979,0.169,-3.984,0.882,audio_features,0.188,7r2OZCyBwa5nLnPXkbrxFd,181369,0.0558,11,0.00154,4
0.792,0,0.845,92.119,0.0784,-7.908,0.916,audio_features,0.18,7DogGBT86sbjsNWQSIGLtB,258819,0.0435,11,8.64e-06,4
0.825,1,0.731,141.958,0.563,-8.599,0.858,audio_features,0.194,4dT12xmKMcJ8FCcZOOW17U,234057,0.15,3,0.0085,4
0.806,1,0.7,94.975,0.346,-6.516,0.72,audio_features,0.0534,2C5KGxHkq4ePV51ES40dxO,251714,0.0369,7,0.00159,4
0.854,1,0.808,136.955,0.146,-6.573,0.807,audio_features,0.228,1ZjwIZSIbUdLH4AaPOfGI8,203472,0.106,7,2.3e-05,4
0.66,0,0.696,149.959,0.414,-7.843,0.886,audio_features,0.358,4uRgxGrfYphznz5ca2DabC,344183,0.0903,10,1.68e-06,4
0.889,1,0.729,131.983,0.0371,-9.257,0.784,audio_features,0.0595,6yVeYqlH4yUGgMFoBa1qlA,258968,0.0568,1,0.0347,4
0.798,1,0.891,109.981,0.166,-8.551,0.786,audio_features,0.0605,2724M1EwPYBB8s0J3t0D8R,297482,0.293,8,0.00186,4
0.812,1,0.663,120.015,0.0948,-6.149,0.857,audio_features,0.0511,1QtFtMgfd7brff3mAGuWg8,302414,0.0863,9,0.0185,4
0.869,0,0.926,127.966,0.323,-10.478,0.468,audio_features,0.0646,2RB0HGpFZ3ScPEqC7uCqr3,306978,0.203,7,0.00102,4
0.907,0,0.909,129.008,0.579,-8.108,0.914,audio_features,0.206,5ZoUzf8G4HCyHwjUlnP9H3,258978,0.0828,10,0.00129,4
0.725,0,0.623,101.971,0.448,-4.248,0.782,audio_features,0.0399,5rilA5b4CIvGQPHJUCzzdb,296694,0.239,4,1.02e-05,4
0.84,1,0.85,123.992,0.247,-3.326,0.807,audio_features,0.171,170fl0naF6eC0bcIIymsrI,238800,0.0475,2,3.8e-05,4
0.684,1,0.889,173.907,0.367,-4.046,0.724,audio_features,0.143,1ZGYkHKvevVio9h3XePZ6m,243174,0.111,1,2.12e-05,4
0.82,1,0.795,104.995,0.0616,-6.376,0.896,audio_features,0.0898,1uHbPQSFmkEFZRVdJAl8Mp,355047,0.0697,2,0.0192,4
0.792,0,0.818,127.921,0.549,-6.308,0.625,audio_features,0.0398,2KdAWHjDS6faV6xFMzraQX,246000,0.0969,9,1.62e-05,4
0.669,0,0.473,88.951,0.547,-7.638,0.654,audio_features,0.0829,2NOTi5LCnVtftncWP9nXiG,228318,0.127,4,3.44e-05,4
0.707,1,0.73,99.022,0.148,-7.131,0.864,audio_features,0.105,0l5tguQSbNiD98YNifZ55g,341627,0.223,7,0.000211,4
0.863,0,0.652,123.951,0.103,-6.167,0.851,audio_features,0.191,693359DlfpvoEfIYleKs05,271910,0.197,4,1.38e-05,4
0.605,0,0.735,120.007,0.178,-3.212,0.822,audio_features,0.26,5E68CmEBJp76VtnhpHndjK,233891,0.097,4,8.57e-06,4
0.795,0,0.856,119.944,0.242,-6.273,0.649,audio_features,0.0344,2VnBEeNRiO63NrffCX9Le2,320621,0.148,8,8.03e-06,4
0.712,0,0.67,129.98,0.359,-5.556,0.918,audio_features,0.046,2eNsKGsyXBUWyMZa0QrMII,207760,0.382,9,0.00162,4
0.83,1,0.779,140.03,0.0788,-2.224,0.925,audio_features,0.0673,2yosXZblXRmyAcRIA1xyow,272187,0.23,5,0.000839,4
0.743,0,0.927,137.954,0.295,-5.882,0.724,audio_features,0.0426,0tkVT2PRjiDHkKhellVpb6,226707,0.175,7,0,4
0.634,1,0.907,179.871,0.0818,-7.939,0.844,audio_features,0.0863,4NugyVw9Of2Z4uyBXf33tX,354717,0.572,2,0.00639,4
0.688,1,0.471,170.139,0.187,-7.112,0.818,audio_features,0.314,4EztIh7yvgYs9YLCvxT8ku,332907,0.337,2,0,4
0.649,0,0.626,99.982,0.675,-5.436,0.725,audio_features,0.0413,46QURz1FA2bt7kmz7mdGLE,310977,0.131,4,0,4
0.679,0,0.963,74.717,0.623,-7.483,0.752,audio_features,0.0993,3arE9PNcK6svzaxbjgfBdT,265958,0.124,7,0.00174,4
0.796,0,0.962,115.976,0.4,-3.077,0.9,audio_features,0.0524,14I31bbtEZVADFi1uCcxcu,291189,0.212,5,1.43e-05,4
